Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
459,107.665,62.319,45.346,,85.418,58.406,27.012,,459,284.365,281.097,3.268,,293.044,295.05,-2.006,,459,138.625,131.076,7.549,,119.478,127.913,-8.435,,151.719,149.01,2.709,,230.012,148.584,81.428
461,103.186,67.911,35.275,,78.767,64.303,14.464,,461,299.671,281.162,18.509,,293.272,294.815,-1.543,,461,154.079,131.769,22.31,,128.341,119.198,9.143,,236.398,148.892,87.506,,251.494,148.52,102.974
463,106.999,66.43,40.569,,81.293,64.319,16.974,,463,284.315,281.128,3.187,,281.448,295.478,-14.03,,463,149.878,131.129,18.749,,133.172,123.431,9.741,,151.369,149.259,2.11,,148.283,147.863,0.42
465,96.509,81.837,14.672,,80.199,61.926,18.273,,465,285.923,282.233,3.69,,281.42,293.042,-11.622,,465,143.19,130.454,12.736,,147.023,125.481,21.542,,151.477,150.93,0.547,,148.473,148.136,0.337
467,104.492,55.621,48.871,,89.287,67.256,22.031,,467,284.424,281.593,2.831,,281.369,294.297,-12.928,,467,136.355,132.771,3.584,,122.502,126.03,-3.528,,151.588,149.025,2.563,,148.036,148.333,-0.297
469,122.201,56.521,65.68,,94.086,61.738,32.348,,469,284.505,284.024,0.481,,295.347,289.81,5.537,,469,162.841,137.356,25.485,,136.655,107.222,29.433,,232.723,148.783,83.94,,197.274,148.146,49.128
471,115.483,52.792,62.691,,92.376,62.061,30.315,,471,284.412,284.015,0.397,,281.366,288.52,-7.154,,471,153.402,126.556,26.846,,138.877,123.355,15.522,,193.028,148.92,44.108,,149.972,149.643,0.329
473,103.028,66.493,36.535,,88.217,58.247,29.97,,473,307.844,284.186,23.658,,281.396,283.5,-2.104,,473,139.251,111.481,27.77,,145.123,134.214,10.909,,158.167,149.149,9.018,,240.773,149.462,91.311
475,99.63,48.276,51.354,,94.008,63.75,30.258,,475,284.342,283.997,0.345,,316.921,284.835,32.086,,475,162.484,128.605,33.879,,130.812,132.544,-1.732,,151.499,148.86,2.639,,148.3,150.924,-2.624
477,110.296,71.185,39.111,,93.23,51.999,41.231,,477,283.646,284.098,-0.452,,281.332,285.246,-3.914,,477,160.495,148.324,12.171,,117.277,114.42,2.857,,162.05,148.87,13.18,,148.078,150.706,-2.628
479,104.994,71.678,33.316,,88.085,68.025,20.06,,479,281.425,283.916,-2.491,,281.863,295.465,-13.602,,479,163.168,137.184,25.984,,127.455,130.042,-2.587,,155.427,148.857,6.57,,148.541,150.142,-1.601
481,109.559,65.524,44.035,,81.431,65.06,16.371,,481,286.381,284.217,2.164,,308.871,285.839,23.032,,481,156.983,110.354,46.629,,148.07,133.073,14.997,,152.292,148.822,3.47,,158.47,152.32,6.15
483,101.37,76.853,24.517,,92.887,67.372,25.515,,483,281.992,284.356,-2.364,,281.357,292.356,-10.999,,483,144.637,128.859,15.778,,137.639,137.373,0.266,,151.979,148.949,3.03,,148.01,149.73,-1.72
485,96.924,68.274,28.65,,97.788,65.493,32.295,,485,281.43,284.27,-2.84,,311.802,291.647,20.155,,485,156.249,145.752,10.497,,127.91,125.358,2.552,,176.75,150.614,26.136,,252.104,149.242,102.862
487,113.974,64.252,49.722,,95.311,66.559,28.752,,487,281.465,284.001,-2.536,,302.217,286.899,15.318,,487,157.242,146.014,11.228,,133.702,122.257,11.445,,151.5,149.191,2.309,,160.979,149.659,11.32
489,111.327,70.853,40.474,,105.376,70.029,35.347,,489,281.56,284.086,-2.526,,281.465,286.102,-4.637,,489,141.808,109.594,32.214,,147.439,124.464,22.975,,151.866,149.116,2.75,,147.931,150.164,-2.233
491,112.734,63.53,49.204,,88.152,65.28,22.872,,491,281.824,284.121,-2.297,,312.287,286.577,25.71,,491,169.14,128.729,40.411,,136.619,136.056,0.563,,151.859,148.956,2.903,,264.573,149.453,115.12
493,116.922,67.942,48.98,,100.583,76.421,24.162,,493,281.537,284.011,-2.474,,281.316,283.283,-1.967,,493,171.17,147.91,23.26,,124.876,124.98,-0.104,,151.843,149.073,2.77,,247.343,149.813,97.53
495,104.186,67.797,36.389,,102.705,63.591,39.114,,495,318.438,284.077,34.361,,281.592,287.931,-6.339,,495,161.805,137.389,24.416,,146.775,129.96,16.815,,151.754,149.01,2.744,,285.833,150.143,135.69
497,94.195,67.271,26.924,,109.965,67.131,42.834,,497,281.863,289.864,-8.001,,281.257,283.262,-2.005,,497,163.471,123.837,39.634,,156.293,136.179,20.114,,156.164,148.928,7.236,,218.221,150.855,67.366
499,111.287,73.275,38.012,,111.234,77.834,33.4,,499,296.683,284.011,12.672,,281.314,285.339,-4.025,,499,173.664,142.431,31.233,,143.806,141.852,1.954,,155.039,149.335,5.704,,175.089,154.815,20.274
501,123.843,59.682,64.161,,94.397,59.482,34.915,,501,282.317,285.039,-2.722,,281.879,282.844,-0.965,,501,172.513,147.406,25.107,,127.054,141.705,-14.651,,162.165,149.748,12.417,,148.916,152.57,-3.654
503,118.819,69.952,48.867,,108.886,60.113,48.773,,503,313.482,284.615,28.867,,286.614,284.817,1.797,,503,319.996,146.756,173.24,,161.278,91.853,69.425,,263.094,149.414,113.68,,158.249,152.138,6.111
505,127.361,66.943,60.418,,99.536,68.233,31.303,,505,281.615,284.712,-3.097,,281.407,295.184,-13.777,,505,170.285,135.19,35.095,,154.226,126.076,28.15,,182.114,149.612,32.502,,149.089,149.63,-0.541
507,125.253,66.145,59.108,,95.648,73.159,22.489,,507,281.828,293.341,-11.513,,303.966,288.57,15.396,,507,172.649,137.168,35.481,,137.975,145.118,-7.143,,168.607,149.591,19.016,,153.935,149.246,4.689
509,122.837,78.561,44.276,,97.083,66.113,30.97,,509,281.532,284.528,-2.996,,281.388,294.535,-13.147,,509,144.757,155.37,-10.613,,174.77,146.979,27.791,,160.904,150.176,10.728,,149.449,149.735,-0.286
511,124.394,72.366,52.028,,120.083,72.345,47.738,,511,281.71,302.183,-20.473,,298.797,291.417,7.38,,511,134.241,137.564,-3.323,,159.805,125.335,34.47,,152.501,149.714,2.787,,148.718,148.943,-0.225
513,118.607,84.204,34.403,,111.707,67.267,44.44,,513,281.765,284.031,-2.266,,340.829,291.488,49.341,,513,162.119,140.177,21.942,,167.217,121.179,46.038,,152.079,149.596,2.483,,286.775,148.271,138.504
515,127.358,68.649,58.709,,101.942,68.18,33.762,,515,282.213,313.815,-31.602,,281.367,297.308,-15.941,,515,161.214,139.055,22.159,,140.129,134.814,5.315,,152.223,150.024,2.199,,149.155,148.17,0.985
517,134.213,69.82,64.393,,123.537,72.217,51.32,,517,281.486,294.287,-12.801,,281.34,292.2,-10.86,,517,169.656,152.934,16.722,,155.56,146.961,8.599,,152.031,149.495,2.536,,167.922,147.943,19.979
519,123.856,83.843,40.013,,100.771,72.486,28.285,,519,281.711,285.892,-4.181,,281.419,297.437,-16.018,,519,168.127,147.284,20.843,,159.298,129.783,29.515,,152.135,149.481,2.654,,148.823,147.791,1.032
521,137.526,79.607,57.919,,105.671,72.129,33.542,,521,281.626,300.735,-19.109,,331.454,299.461,31.993,,521,177.364,147.867,29.497,,143.806,110.303,33.503,,152.423,148.898,3.525,,148.584,147.793,0.791
523,144.412,72.036,72.376,,114.842,69.465,45.377,,523,282.893,284.229,-1.336,,296.493,292.944,3.549,,523,181.047,152.707,28.34,,161.14,142.443,18.697,,152.428,149.158,3.27,,280.37,147.855,132.515
525,132.829,70.283,62.546,,117.462,71.351,46.111,,525,323.371,292.868,30.503,,307.501,290.802,16.699,,525,166.8,153.454,13.346,,158.59,141.83,16.76,,214.937,148.915,66.022,,149.722,147.673,2.049
527,150.117,82.823,67.294,,101.407,74.648,26.759,,527,281.619,284.06,-2.441,,281.391,292.053,-10.662,,527,183.615,140.476,43.139,,154.105,132.528,21.577,,152.273,148.676,3.597,,148.539,147.698,0.841
529,139.632,74.653,64.979,,131.349,70.395,60.954,,529,392.781,284.375,108.406,,282.415,293.668,-11.253,,529,175.822,149.304,26.518,,144.897,133.446,11.451,,161.722,148.344,13.378,,149.357,147.875,1.482
531,125.439,54.757,70.682,,121.554,70.097,51.457,,531,286.935,284.071,2.864,,314.719,290.775,23.944,,531,165.967,155.755,10.212,,160.053,148.89,11.163,,156.2,148.47,7.73,,148.702,147.618,1.084
533,128.993,61.87,67.123,,118.82,69.78,49.04,,533,306.181,284.956,21.225,,281.35,293.362,-12.012,,533,172.529,156.22,16.309,,160.604,145.395,15.209,,153.417,148.856,4.561,,148.94,147.64,1.3
535,112.973,72.141,40.832,,146.992,76.145,70.847,,535,290.328,284.137,6.191,,283.146,295.02,-11.874,,535,177.527,150.057,27.47,,153.096,127.226,25.87,,161.744,148.713,13.031,,149.134,147.83,1.304
537,114.374,79.728,34.646,,119.761,74.57,45.191,,537,290.39,284.52,5.87,,287.618,290.905,-3.287,,537,171.391,146.069,25.322,,145.544,139.335,6.209,,157.547,149.491,8.056,,149.17,148.875,0.295
539,111.841,85.788,26.053,,124.252,67.13,57.122,,539,334.451,293.365,41.086,,281.638,294.101,-12.463,,539,178.545,155.338,23.207,,156.239,155.67,0.569,,154.485,148.543,5.942,,153.557,149.472,4.085
541,124.196,85.376,38.82,,114.758,73.239,41.519,,541,290.266,292.888,-2.622,,281.823,291.809,-9.986,,541,183.337,149.978,33.359,,163.251,136.432,26.819,,162.679,148.837,13.842,,233.234,151.146,82.088
543,130.002,77.078,52.924,,118.015,65.562,52.453,,543,290.585,292.854,-2.269,,282.498,294.607,-12.109,,543,185.6,154.38,31.22,,138.68,123.719,14.961,,152.909,149.117,3.792,,149.103,150.465,-1.362
545,128.086,79.428,48.658,,118.943,86.58,32.363,,545,290.396,293.361,-2.965,,281.541,295.844,-14.303,,545,180.196,132.968,47.228,,162.657,150.496,12.161,,269.547,149.122,120.425,,149.176,149.348,-0.172
547,133.956,65.844,68.112,,125.442,90.995,34.447,,547,317.999,301.033,16.966,,281.402,292.486,-11.084,,547,176.034,149.454,26.58,,168.325,162.307,6.018,,156.178,148.687,7.491,,148.911,149.882,-0.971
549,142.065,84.759,57.306,,131.032,84.475,46.557,,549,290.296,292.967,-2.671,,328.513,293.101,35.412,,549,192.561,165.348,27.213,,167.704,140.428,27.276,,152.701,149.047,3.654,,257.687,151.637,106.05
551,122.513,65.949,56.564,,133.774,78.179,55.595,,551,305.939,292.807,13.132,,281.333,298.746,-17.413,,551,177.787,150.599,27.188,,159.353,137.882,21.471,,200.534,148.885,51.649,,149.128,152.816,-3.688
553,125.938,70.748,55.19,,123.469,77.527,45.942,,553,401.971,292.972,108.999,,283.337,292.234,-8.897,,553,170.796,113.196,57.6,,153.294,158.014,-4.72,,163.498,148.831,14.667,,155.777,152.121,3.656
555,136.393,73.987,62.406,,132.634,78.26,54.374,,555,290.282,296.165,-5.883,,323.967,294.68,29.287,,555,181.724,159.361,22.363,,166.75,146.519,20.231,,152.883,149.258,3.625,,149.686,156.93,-7.244
557,145.352,88.626,56.726,,129.057,68.746,60.311,,557,290.242,301.182,-10.94,,288.479,293.182,-4.703,,557,186.647,163.748,22.899,,156.025,146.173,9.852,,152.437,148.535,3.902,,198.197,151.719,46.478
559,136.471,73.162,63.309,,121.827,65.457,56.37,,559,291.044,292.908,-1.864,,316.922,297.772,19.15,,559,150.275,104.269,46.006,,262.758,153.17,109.588,,152.97,148.814,4.156,,212.397,158.574,53.823
561,135.677,56.795,78.882,,136.204,70.468,65.736,,561,291.473,293.026,-1.553,,281.355,296.373,-15.018,,561,177.422,162.61,14.812,,176.657,153.641,23.016,,345.292,148.299,196.993,,248.661,154.23,94.431
563,145.416,83.016,62.4,,144.655,66.696,77.959,,563,339.964,295.796,44.168,,286.073,293.825,-7.752,,563,180.472,173.228,7.244,,161.887,151.415,10.472,,152.137,148.387,3.75,,230.014,152.517,77.497
565,157.949,73.333,84.616,,122.815,84.061,38.754,,565,290.262,292.984,-2.722,,281.445,293.259,-11.814,,565,184.604,155.723,28.881,,136.614,144.537,-7.923,,184.387,148.247,36.14,,278.532,151.478,127.054
567,142.052,79.251,62.801,,116.226,87.854,28.372,,567,290.811,295.745,-4.934,,284.097,293.303,-9.206,,567,182.376,150.242,32.134,,174.231,147.69,26.541,,151.488,148.388,3.1,,158.044,151.874,6.17
569,137.574,83.465,54.109,,148.625,71.159,77.466,,569,293.38,293.537,-0.157,,282.142,297.945,-15.803,,569,189.686,171.154,18.532,,171.996,163.702,8.294,,171.109,148.283,22.826,,209.673,152.976,56.697
571,137.904,82.79,55.114,,117.384,80.26,37.124,,571,295.046,292.85,2.196,,284.852,292.529,-7.677,,571,194.003,165.821,28.182,,198.666,157.546,41.12,,167.195,148.174,19.021,,223.659,152.483,71.176
573,122.924,90.914,32.01,,135.709,84.379,51.33,,573,293.411,292.877,0.534,,282.319,294.025,-11.706,,573,156.715,154.804,1.911,,166.38,131.179,35.201,,155.633,148.442,7.191,,148.564,150.333,-1.769
575,141.238,80.562,60.676,,129.137,66.088,63.049,,575,293.377,292.85,0.527,,281.476,294.759,-13.283,,575,198.006,168.933,29.073,,177.026,152.371,24.655,,172.968,148.53,24.438,,150.564,149.802,0.762
577,136.919,73.302,63.617,,133.547,71.123,62.424,,577,524.139,292.871,231.268,,282.057,296.213,-14.156,,577,252.152,167.449,84.703,,150.906,165.104,-14.198,,153.979,148.412,5.567,,148.97,149.652,-0.682
579,136.276,84.452,51.824,,136.375,73.393,62.982,,579,293.516,282.344,11.172,,281.536,291.492,-9.956,,579,152.721,166.974,-14.253,,146.471,160.131,-13.66,,311.224,148.619,162.605,,216.676,148.936,67.74
581,143.722,82.216,61.506,,130.241,78.768,51.473,,581,293.133,281.104,12.029,,345.27,293.195,52.075,,581,187.774,137.348,50.426,,179.564,139.411,40.153,,151.932,148.687,3.245,,221.482,150.068,71.414
583,147.26,71.969,75.291,,140.577,72.013,68.564,,583,293.196,281.186,12.01,,281.32,291.597,-10.277,,583,205.485,165.842,39.643,,168.958,154.633,14.325,,222.252,148.382,73.87,,148.641,149.984,-1.343
585,155.538,70.154,85.384,,123.864,77.346,46.518,,585,293.168,281.157,12.011,,284.976,299.221,-14.245,,585,189.785,164.557,25.228,,179.623,161.964,17.659,,151.076,148.241,2.835,,160.795,151.192,9.603
587,157.127,68.809,88.318,,146.491,76.837,69.654,,587,293.291,303.53,-10.239,,281.9,296.982,-15.082,,587,196.995,164.017,32.978,,175.551,151.668,23.883,,151.631,147.894,3.737,,189.645,149.153,40.492
589,133.771,88.407,45.364,,129.562,82.668,46.894,,589,293.404,281.182,12.222,,338.599,294.432,44.167,,589,202.237,166.258,35.979,,162.809,154.958,7.851,,152.008,148.372,3.636,,148.483,150.043,-1.56
591,136.12,61.664,74.456,,132.41,69.044,63.366,,591,296.389,281.157,15.232,,290.11,293.405,-3.295,,591,184.848,178.658,6.19,,161.128,169.615,-8.487,,155.572,148.361,7.211,,260.708,149.341,111.367
593,142.441,89.939,52.502,,135.299,82.988,52.311,,593,293.382,281.193,12.189,,290.217,287.327,2.89,,593,186.412,170.131,16.281,,172.984,162.122,10.862,,152.35,148.978,3.372,,327.866,148.911,178.955
595,144.49,86.885,57.605,,125.05,77.073,47.977,,595,293.464,281.077,12.387,,290.388,283.579,6.809,,595,206.207,154.164,52.043,,233.493,153.345,80.148,,153.194,153.475,-0.281,,166.426,148.914,17.512
597,143.855,80.421,63.434,,142.84,79.347,63.493,,597,334.903,281.369,53.534,,290.188,284.845,5.343,,597,205.205,171.928,33.277,,231.047,150.752,80.295,,154.81,149.18,5.63,,152.013,149.7,2.313
599,153.968,88.134,65.834,,148.136,74.602,73.534,,599,293.198,280.991,12.207,,290.875,268.597,22.278,,599,185.043,182.528,2.515,,179.585,162.375,17.21,,153.554,148.593,4.961,,148.352,150.295,-1.943
601,157.85,88.513,69.337,,152.715,79.931,72.784,,601,300.874,281.547,19.327,,318.306,270.905,47.401,,601,203.483,144.396,59.087,,183.103,144.479,38.624,,188.794,148.512,40.282,,149.502,149.159,0.343
603,150.694,88.827,61.867,,195.725,74.237,121.488,,603,301.399,281.239,20.16,,290.185,269.25,20.935,,603,199.21,161.12,38.09,,155.759,162.693,-6.934,,152.926,148.238,4.688,,177.636,150.9,26.736
605,145.192,87.867,57.325,,146.475,89.079,57.396,,605,293.179,281.031,12.148,,290.915,270.634,20.281,,605,177.665,179.78,-2.115,,177.21,170.591,6.619,,159.358,147.901,11.457,,193.737,149.524,44.213
607,169.31,84.563,84.747,,143.006,84.648,58.358,,607,391.875,296.443,95.432,,290.915,267.867,23.048,,607,200.032,160.413,39.619,,188.231,164.452,23.779,,302.939,148.286,154.653,,150.768,148.986,1.782
609,171.466,76.556,94.91,,144.429,81.233,63.196,,609,310.664,292.913,17.751,,290.122,268.344,21.778,,609,286.901,153.846,133.055,,165.11,156.213,8.897,,152.632,148.297,4.335,,149.349,148.876,0.473
611,143.917,82.807,61.11,,158.129,78.481,79.648,,611,293.594,281.555,12.039,,293.273,267.741,25.532,,611,187.727,189.692,-1.965,,160.748,164.556,-3.808,,152.397,149.052,3.345,,232.34,150.868,81.472
613,172.872,90.158,82.714,,161.006,84.46,76.546,,613,293.213,281.256,11.957,,290.176,274.525,15.651,,613,199.574,172.316,27.258,,200.411,167.678,32.733,,152.334,148.875,3.459,,149.973,149.166,0.807
615,158.232,84.64,73.592,,161.04,76.59,84.45,,615,293.319,281.126,12.193,,291.546,273.513,18.033,,615,194.029,166.556,27.473,,167.786,158.068,9.718,,154.045,149.261,4.784,,199.787,151.08,48.707
617,155.425,82.8,72.625,,146.348,90.622,55.726,,617,293.46,281.173,12.287,,291.473,270.595,20.878,,617,187.57,155.926,31.644,,341.401,152.423,188.978,,151.435,148.372,3.063,,394.318,148.418,245.9
619,169.528,63.705,105.823,,132.243,77.298,54.945,,619,344.179,281.492,62.687,,370.149,271.404,98.745,,619,212.119,174.107,38.012,,182.961,157.832,25.129,,172.583,148.318,24.265,,269.243,148.674,120.569
621,137.55,96.584,40.966,,141.919,86.933,54.986,,621,293.146,281.2,11.946,,286.065,272.527,13.538,,621,211.867,176.089,35.778,,148.531,173.684,-25.153,,151.822,148.815,3.007,,171.344,148.981,22.363
623,154.003,96.737,57.266,,136.097,85.528,50.569,,623,490.649,281.178,209.471,,281.396,268.769,12.627,,623,188.43,160.217,28.213,,180.476,144.943,35.533,,190.311,148.438,41.873,,155.597,148.97,6.627
625,154.596,85.492,69.104,,151.238,98.976,52.262,,625,307.979,281.187,26.792,,281.511,269.793,11.718,,625,203.594,188.068,15.526,,188.977,170.154,18.823,,232.327,149.295,83.032,,149.689,148.714,0.975
627,147.936,95.526,52.41,,154.096,84.929,69.167,,627,293.147,281.16,11.987,,308.491,267.668,40.823,,627,205.191,169.886,35.305,,158.105,189.236,-31.131,,152.001,149.053,2.948,,286.321,149.256,137.065
629,146.514,74.363,72.151,,161.864,78.027,83.837,,629,303.384,282.544,20.84,,282.958,268.427,14.531,,629,312.265,165.581,146.684,,178.702,150.66,28.042,,207.671,149.546,58.125,,151.122,148.786,2.336
631,154.044,91.988,62.056,,151.625,85.998,65.627,,631,293.35,281.15,12.2,,281.845,270.383,11.462,,631,205.117,183.744,21.373,,344.354,158.031,186.323,,247.4,148.774,98.626,,202.339,149.257,53.082
633,149.494,87.07,62.424,,153.954,89.835,64.119,,633,296.142,281.17,14.972,,505.667,269.516,236.151,,633,193.251,182.473,10.778,,179.93,182.593,-2.663,,152.775,148.789,3.986,,255.81,149.115,106.695
635,143.179,87.997,55.182,,152.617,88.41,64.207,,635,297.455,281.167,16.288,,281.644,268.975,12.669,,635,198.319,166.15,32.169,,185.528,170.724,14.804,,152.829,148.147,4.682,,226.125,149.557,76.568
637,172.809,84.397,88.412,,148.833,93.557,55.276,,637,294.154,281.16,12.994,,281.361,267.808,13.553,,637,211.758,181.402,30.356,,187.108,156.828,30.28,,270.081,149.202,120.879,,221.903,148.791,73.112
639,160.481,93.953,66.528,,161.393,96.015,65.378,,639,294.799,281.306,13.493,,281.368,271.055,10.313,,639,385.212,193.339,191.873,,184.914,184.019,0.895,,152.622,148.643,3.979,,219.705,149.63,70.075
641,151.622,80.839,70.783,,143.869,96.927,46.942,,641,294.605,281.111,13.494,,281.331,268.112,13.219,,641,202.621,142.436,60.185,,191.781,164.197,27.584,,152.024,147.824,4.2,,178.465,148.738,29.727
643,166.309,87.433,78.876,,160.459,95.719,64.74,,643,293.25,281.241,12.009,,281.498,269.325,12.173,,643,210.785,165.252,45.533,,204.235,171.144,33.091,,153.747,148.345,5.402,,164.702,149.168,15.534
645,176.675,88.225,88.45,,210.599,75.653,134.946,,645,517.448,281.047,236.401,,287.074,272.305,14.769,,645,191.331,190.417,0.914,,191.355,166.421,24.934,,153.112,149.049,4.063,,151.122,148.813,2.309
647,172.075,92.489,79.586,,209.195,100.248,108.947,,647,340.369,281.176,59.193,,281.423,269.791,11.632,,647,221.134,175.582,45.552,,293.144,173.217,119.927,,153.409,147.555,5.854,,216.65,149.501,67.149
649,153.777,92.147,61.63,,150.405,93.754,56.651,,649,321.66,281.189,40.471,,284.997,273.087,11.91,,649,214.35,181.093,33.257,,193.869,165.274,28.595,,238.144,147.451,90.693,,161.366,148.911,12.455
651,151.41,90.943,60.467,,146.893,81.483,65.41,,651,293.622,281.19,12.432,,281.698,267.356,14.342,,651,204.4,193.941,10.459,,175.144,170.601,4.543,,154.593,147.421,7.172,,213.227,148.561,64.666
653,167.058,106.766,60.292,,138.014,86.211,51.803,,653,357.403,281.102,76.301,,500.368,272.74,227.628,,653,222.907,187.817,35.09,,194.881,185.697,9.184,,154.215,147.897,6.318,,149.671,149.617,0.054
655,157.446,96.397,61.049,,142.804,90.551,52.253,,655,293.284,281.366,11.918,,281.414,268.646,12.768,,655,210.652,180.636,30.016,,204.139,174.014,30.125,,164.704,148.38,16.324,,149.803,148.779,1.024
657,141.937,103.094,38.843,,153.987,110.647,43.34,,657,293.15,281.263,11.887,,281.386,274.097,7.289,,657,212.983,195.935,17.048,,177.056,173.714,3.342,,161.78,146.953,14.827,,169.304,150.422,18.882
659,152.753,96.531,56.222,,152.172,74.61,77.562,,659,293.173,281.215,11.958,,281.401,273.428,7.973,,659,304.76,196.06,108.7,,206.755,184.836,21.919,,341.761,149.626,192.135,,213.941,148.79,65.151
661,153.162,98.158,55.004,,167.066,95.28,71.786,,661,293.996,281.144,12.852,,281.542,268.322,13.22,,661,211.552,169.249,42.303,,203.736,174.272,29.464,,168.172,148.034,20.138,,149.907,149.861,0.046
663,167.497,103.975,63.522,,152.893,91.01,61.883,,663,293.419,281.117,12.302,,281.48,268.749,12.731,,663,195.952,200.693,-4.741,,178.492,172.613,5.879,,202.33,148.147,54.183,,149.729,149.857,-0.128
665,170.597,99.293,71.304,,149.494,85.542,63.952,,665,298.172,281.223,16.949,,308.206,268.718,39.488,,665,222.301,195.837,26.464,,189.775,172.971,16.804,,154.047,148.342,5.705,,158.845,149.106,9.739
667,161.686,91.09,70.596,,145.944,85.092,60.852,,667,297.745,281.222,16.523,,281.396,267.256,14.14,,667,216.399,172.952,43.447,,195.098,194.715,0.383,,154.166,148.606,5.56,,245.533,150.182,95.351
669,146.506,100.251,46.255,,145.726,92.989,52.737,,669,293.6,281.209,12.391,,281.488,267.91,13.578,,669,201.754,164.975,36.779,,170.064,170.666,-0.602,,154.342,148.533,5.809,,242.422,149.018,93.404
671,151.553,88.209,63.344,,152.552,91.19,61.362,,671,294.933,281.191,13.742,,283.169,278.844,4.325,,671,345.61,201.311,144.299,,200.812,166.537,34.275,,198.563,148.554,50.009,,211.863,149.254,62.609
673,150.731,91.069,59.662,,154.728,88.582,66.146,,673,298.844,281.243,17.601,,284.531,297.238,-12.707,,673,218.253,162.371,55.882,,200.921,175.848,25.073,,153.839,147.501,6.338,,211.733,149.614,62.119
675,144.995,91.61,53.385,,152.773,96.054,56.719,,675,308.362,281.185,27.177,,284.35,294.34,-9.99,,675,227.643,200.49,27.153,,255.573,167.939,87.634,,220.079,147.698,72.381,,202.512,149.42,53.092
677,133.928,107.028,26.9,,156.42,83.169,73.251,,677,574.746,281.314,293.432,,285.082,294.927,-9.845,,677,227.718,204.776,22.942,,200.982,177.65,23.332,,162.791,147.865,14.926,,154.668,150.154,4.514
679,159.171,111.86,47.311,,161.517,108.585,52.932,,679,293.239,281.144,12.095,,286.429,295.642,-9.213,,679,215.744,164.244,51.5,,191.304,191.312,-0.008,,160.656,147.813,12.843,,253.8,149.926,103.874
681,148.952,105.907,43.045,,153.555,92.396,61.159,,681,293.279,281.199,12.08,,284.282,300.562,-16.28,,681,222.025,186.92,35.105,,174.171,177.893,-3.722,,154.757,148.368,6.389,,171.591,149.954,21.637
683,167.767,99.661,68.106,,172.114,82.993,89.121,,683,295.463,281.188,14.275,,368.986,295.72,73.266,,683,225.542,194.109,31.433,,226.734,174.691,52.043,,189.602,147.87,41.732,,150.396,148.335,2.061
685,161.655,98.726,62.929,,168.197,91.114,77.083,,685,336.75,281.217,55.533,,284.316,293.167,-8.851,,685,224.145,172.733,51.412,,196.546,198.946,-2.4,,255.664,148.989,106.675,,176.373,148.9,27.473
687,164.414,110.47,53.944,,153.679,89.12,64.559,,687,293.236,281.168,12.068,,284.422,293.722,-9.3,,687,226.672,186.667,40.005,,213.883,180.511,33.372,,211.089,148.435,62.654,,228.926,150.388,78.538
689,153.115,90.113,63.002,,151.067,100.345,50.722,,689,441.161,281.259,159.902,,284.236,295,-10.764,,689,246.54,211.864,34.676,,201.219,166.286,34.933,,157.894,148.633,9.261,,210.31,150.081,60.229
691,147.586,82.54,65.046,,165.186,85.588,79.598,,691,311.343,281.222,30.121,,435.043,317.332,117.711,,691,212.184,174.218,37.966,,197.784,186.046,11.738,,176.171,148.319,27.852,,191.399,149.536,41.863
693,261.649,103.979,157.67,,168.375,91.171,77.204,,693,291.12,281.301,9.819,,284.329,293.428,-9.099,,693,234.786,184.532,50.254,,262.808,175.892,86.916,,153.816,148.985,4.831,,239.029,149.685,89.344
695,186.398,91.75,94.648,,216.665,96.248,120.417,,695,290.454,281.117,9.337,,284.229,293.931,-9.702,,695,220.765,209.719,11.046,,190.257,160.426,29.831,,169.859,148.268,21.591,,151.983,149.978,2.005
697,146.845,106.388,40.457,,166.965,98.379,68.586,,697,290.563,281.224,9.339,,284.31,298.124,-13.814,,697,223.401,186.048,37.353,,203.025,185.478,17.547,,156.717,148.005,8.712,,181.873,148.685,33.188
699,148.716,91.275,57.441,,163.499,87.731,75.768,,699,291.063,281.156,9.907,,285.032,300.409,-15.377,,699,238.043,186.21,51.833,,210.152,202.307,7.845,,180.548,150.078,30.47,,165.848,150.468,15.38
701,161.21,95.129,66.081,,156.407,97.658,58.749,,701,429.531,281.273,148.258,,292.931,293.434,-0.503,,701,218.244,209.906,8.338,,203.348,166.296,37.052,,160.425,148.155,12.27,,158.842,149.596,9.246
703,165.994,92.981,73.013,,150.691,92.072,58.619,,703,290.425,281.179,9.246,,292.253,295.778,-3.525,,703,201.561,186.496,15.065,,200.624,178.282,22.342,,153.462,148.297,5.165,,317.795,150.315,167.48
705,149.719,88.804,60.915,,161.472,106.174,55.298,,705,290.706,281.277,9.429,,309.555,293.125,16.43,,705,233.509,185.994,47.515,,295.091,190.883,104.208,,176.299,149.371,26.928,,230.959,150.188,80.771
