Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
95,12.424,10.275,2.149,,11.137,10.1,1.037,,95,281.422,268.521,12.901,,290.053,281.167,8.886,,95,30.405,23.034,7.371,,28.957,24.468,4.489,,154.394,156.901,-2.507,,146.199,148.07,-1.871
97,12.7,10.858,1.842,,10.542,9.847,0.695,,97,281.256,268.592,12.664,,289.986,281.275,8.711,,97,30.299,27.101,3.198,,28.855,26.088,2.767,,154.14,156.751,-2.611,,146.111,148.419,-2.308
99,12.293,10.317,1.976,,11.844,9.571,2.273,,99,281.254,268.775,12.479,,292.414,281.041,11.373,,99,29.722,27.29,2.432,,29.778,22.539,7.239,,154.465,156.714,-2.249,,146.171,149.013,-2.842
101,12.339,9.917,2.422,,11.265,9.358,1.907,,101,281.42,269.111,12.309,,293.099,280.823,12.276,,101,29.625,29.547,0.078,,30.277,27.95,2.327,,154.016,157.171,-3.155,,146.391,147.998,-1.607
103,13.508,10.165,3.343,,11.53,10.205,1.325,,103,281.536,268.698,12.838,,292.821,280.83,11.991,,103,25.487,30.019,-4.532,,32.384,26.471,5.913,,153.962,156.981,-3.019,,146.224,148.482,-2.258
105,13.218,10.439,2.779,,12.137,10.841,1.296,,105,281.376,269.069,12.307,,293.118,280.843,12.275,,105,24.655,30.151,-5.496,,32.193,27.81,4.383,,154.101,156.552,-2.451,,146.228,148.339,-2.111
107,12.616,10.383,2.233,,12.022,10.404,1.618,,107,281.346,269.323,12.023,,292.823,281.215,11.608,,107,32.679,31.118,1.561,,32.788,28.843,3.945,,154.086,156.954,-2.868,,146.196,155.536,-9.34
109,12.362,11.171,1.191,,11.937,10.205,1.732,,109,281.303,268.947,12.356,,292.822,280.934,11.888,,109,38.088,31.141,6.947,,32.096,30.941,1.155,,154.071,156.984,-2.913,,146.369,161.714,-15.345
111,12.31,11.802,0.508,,12.423,10.537,1.886,,111,281.472,268.699,12.773,,293.355,281.003,12.352,,111,36.271,31.826,4.445,,33.124,30.09,3.034,,154.107,157.243,-3.136,,146.252,165.431,-19.179
113,13.045,10.559,2.486,,12.666,11.7,0.966,,113,281.233,268.899,12.334,,292.735,280.981,11.754,,113,38.435,32.751,5.684,,31.446,30.687,0.759,,153.898,156.746,-2.848,,146.256,159.156,-12.9
115,12.604,11.963,0.641,,13.245,10.206,3.039,,115,281.438,268.898,12.54,,292.967,280.93,12.037,,115,39.034,33.374,5.66,,29.002,31.331,-2.329,,154.259,156.827,-2.568,,146.453,160.421,-13.968
117,14.858,11.209,3.649,,13.156,11.04,2.116,,117,281.329,280.399,0.93,,292.896,281.185,11.711,,117,39.528,34.938,4.59,,28.089,31.499,-3.41,,154.063,156.91,-2.847,,146.13,166.045,-19.915
119,15.101,12.245,2.856,,12.977,10.833,2.144,,119,281.442,268.679,12.763,,293.068,281.053,12.015,,119,40.117,31.609,8.508,,29.547,32.367,-2.82,,154.18,157.034,-2.854,,146.311,175.629,-29.318
121,13.121,12.276,0.845,,12.381,11.15,1.231,,121,281.468,268.62,12.848,,292.941,280.814,12.127,,121,39.469,33.548,5.921,,38.173,34.235,3.938,,154.485,156.845,-2.36,,146.545,175.869,-29.324
