Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large,,small_v1,small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
551,305.939,292.807,13.132,,281.333,298.746,-17.413
553,401.971,292.972,108.999,,283.337,292.234,-8.897
555,290.282,296.165,-5.883,,323.967,294.68,29.287
557,290.242,301.182,-10.94,,288.479,293.182,-4.703
559,291.044,292.908,-1.864,,316.922,297.772,19.15
561,291.473,293.026,-1.553,,281.355,296.373,-15.018
563,339.964,295.796,44.168,,286.073,293.825,-7.752
565,290.262,292.984,-2.722,,281.445,293.259,-11.814
567,290.811,295.745,-4.934,,284.097,293.303,-9.206
569,293.38,293.537,-0.157,,282.142,297.945,-15.803
571,295.046,292.85,2.196,,284.852,292.529,-7.677
573,293.411,292.877,0.534,,282.319,294.025,-11.706
575,293.377,292.85,0.527,,281.476,294.759,-13.283
577,524.139,292.871,231.268,,282.057,296.213,-14.156
579,293.516,282.344,11.172,,281.536,291.492,-9.956
581,293.133,281.104,12.029,,345.27,293.195,52.075
583,293.196,281.186,12.01,,281.32,291.597,-10.277
585,293.168,281.157,12.011,,284.976,299.221,-14.245
587,293.291,303.53,-10.239,,281.9,296.982,-15.082
589,293.404,281.182,12.222,,338.599,294.432,44.167
591,296.389,281.157,15.232,,290.11,293.405,-3.295
593,293.382,281.193,12.189,,290.217,287.327,2.89
595,293.464,281.077,12.387,,290.388,283.579,6.809
597,334.903,281.369,53.534,,290.188,284.845,5.343
599,293.198,280.991,12.207,,290.875,268.597,22.278
601,300.874,281.547,19.327,,318.306,270.905,47.401
603,301.399,281.239,20.16,,290.185,269.25,20.935
605,293.179,281.031,12.148,,290.915,270.634,20.281
607,391.875,296.443,95.432,,290.915,267.867,23.048
609,310.664,292.913,17.751,,290.122,268.344,21.778
611,293.594,281.555,12.039,,293.273,267.741,25.532
613,293.213,281.256,11.957,,290.176,274.525,15.651
615,293.319,281.126,12.193,,291.546,273.513,18.033
617,293.46,281.173,12.287,,291.473,270.595,20.878
619,344.179,281.492,62.687,,370.149,271.404,98.745
621,293.146,281.2,11.946,,286.065,272.527,13.538
623,490.649,281.178,209.471,,281.396,268.769,12.627
625,307.979,281.187,26.792,,281.511,269.793,11.718
627,293.147,281.16,11.987,,308.491,267.668,40.823
629,303.384,282.544,20.84,,282.958,268.427,14.531
631,293.35,281.15,12.2,,281.845,270.383,11.462
633,296.142,281.17,14.972,,505.667,269.516,236.151
635,297.455,281.167,16.288,,281.644,268.975,12.669
637,294.154,281.16,12.994,,281.361,267.808,13.553
639,294.799,281.306,13.493,,281.368,271.055,10.313
641,294.605,281.111,13.494,,281.331,268.112,13.219
643,293.25,281.241,12.009,,281.498,269.325,12.173
645,517.448,281.047,236.401,,287.074,272.305,14.769
647,340.369,281.176,59.193,,281.423,269.791,11.632
649,321.66,281.189,40.471,,284.997,273.087,11.91
651,293.622,281.19,12.432,,281.698,267.356,14.342
653,357.403,281.102,76.301,,500.368,272.74,227.628
655,293.284,281.366,11.918,,281.414,268.646,12.768
657,293.15,281.263,11.887,,281.386,274.097,7.289
659,293.173,281.215,11.958,,281.401,273.428,7.973
661,293.996,281.144,12.852,,281.542,268.322,13.22
663,293.419,281.117,12.302,,281.48,268.749,12.731
665,298.172,281.223,16.949,,308.206,268.718,39.488
667,297.745,281.222,16.523,,281.396,267.256,14.14
669,293.6,281.209,12.391,,281.488,267.91,13.578
671,294.933,281.191,13.742,,283.169,278.844,4.325
673,298.844,281.243,17.601,,284.531,297.238,-12.707
675,308.362,281.185,27.177,,284.35,294.34,-9.99
677,574.746,281.314,293.432,,285.082,294.927,-9.845
679,293.239,281.144,12.095,,286.429,295.642,-9.213
681,293.279,281.199,12.08,,284.282,300.562,-16.28
683,295.463,281.188,14.275,,368.986,295.72,73.266
685,336.75,281.217,55.533,,284.316,293.167,-8.851
687,293.236,281.168,12.068,,284.422,293.722,-9.3
689,441.161,281.259,159.902,,284.236,295,-10.764
691,311.343,281.222,30.121,,435.043,317.332,117.711
693,291.12,281.301,9.819,,284.329,293.428,-9.099
695,290.454,281.117,9.337,,284.229,293.931,-9.702
697,290.563,281.224,9.339,,284.31,298.124,-13.814
699,291.063,281.156,9.907,,285.032,300.409,-15.377
701,429.531,281.273,148.258,,292.931,293.434,-0.503
703,290.425,281.179,9.246,,292.253,295.778,-3.525
705,290.706,281.277,9.429,,309.555,293.125,16.43
707,290.416,281.247,9.169,,287.844,291.98,-4.136
709,294.049,281.242,12.807,,356.703,287.799,68.904
711,291.511,281.197,10.314,,290.304,281.895,8.409
713,290.46,281.312,9.148,,290.214,282.695,7.519
715,290.813,281.167,9.646,,291.773,281.517,10.256
717,291.121,281.267,9.854,,291.267,281.909,9.358
719,290.527,281.188,9.339,,293.001,282.426,10.575
721,325.247,281.251,43.996,,418.632,282.066,136.566
723,290.684,281.287,9.397,,290.304,283.532,6.772
725,292.782,286.388,6.394,,290.298,282.195,8.103
727,293.338,289.838,3.5,,290.347,282.632,7.715
729,293.316,290.03,3.286,,304.596,284.116,20.48
731,299.043,290.087,8.956,,290.492,281.993,8.499
733,410.667,289.942,120.725,,290.277,286.214,4.063
735,293.46,290.017,3.443,,293.61,287.341,6.269
737,293.749,290.042,3.707,,292.375,283.613,8.762
739,293.264,289.972,3.292,,385.292,283.214,102.078
741,296.644,289.92,6.724,,290.646,282.421,8.225
743,293.451,290.049,3.402,,290.223,287.939,2.284
745,293.761,290.152,3.609,,290.397,283.239,7.158
747,299.854,289.981,9.873,,290.564,282.414,8.15
749,293.413,290.094,3.319,,290.285,282.653,7.632
Sun Mar 15 03:20:50 2015,,,,,,,
