,large_v1,large_v2,diff,,Small_v1,Small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
453,152.014,122.711,29.303,,127.283,117.503,9.78
455,140.137,130.114,10.023,,142.32,125.25,17.07
457,136.02,130.818,5.202,,160.435,127.942,32.493
459,138.625,131.076,7.549,,119.478,127.913,-8.435
461,154.079,131.769,22.31,,128.341,119.198,9.143
463,149.878,131.129,18.749,,133.172,123.431,9.741
465,143.19,130.454,12.736,,147.023,125.481,21.542
467,136.355,132.771,3.584,,122.502,126.03,-3.528
469,162.841,137.356,25.485,,136.655,107.222,29.433
471,153.402,126.556,26.846,,138.877,123.355,15.522
473,139.251,111.481,27.77,,145.123,134.214,10.909
475,162.484,128.605,33.879,,130.812,132.544,-1.732
477,160.495,148.324,12.171,,117.277,114.42,2.857
479,163.168,137.184,25.984,,127.455,130.042,-2.587
481,156.983,110.354,46.629,,148.07,133.073,14.997
483,144.637,128.859,15.778,,137.639,137.373,0.266
485,156.249,145.752,10.497,,127.91,125.358,2.552
487,157.242,146.014,11.228,,133.702,122.257,11.445
489,141.808,109.594,32.214,,147.439,124.464,22.975
491,169.14,128.729,40.411,,136.619,136.056,0.563
493,171.17,147.91,23.26,,124.876,124.98,-0.104
495,161.805,137.389,24.416,,146.775,129.96,16.815
497,163.471,123.837,39.634,,156.293,136.179,20.114
499,173.664,142.431,31.233,,143.806,141.852,1.954
501,172.513,147.406,25.107,,127.054,141.705,-14.651
503,319.996,146.756,173.24,,161.278,91.853,69.425
505,170.285,135.19,35.095,,154.226,126.076,28.15
507,172.649,137.168,35.481,,137.975,145.118,-7.143
509,144.757,155.37,-10.613,,174.77,146.979,27.791
511,134.241,137.564,-3.323,,159.805,125.335,34.47
513,162.119,140.177,21.942,,167.217,121.179,46.038
515,161.214,139.055,22.159,,140.129,134.814,5.315
517,169.656,152.934,16.722,,155.56,146.961,8.599
519,168.127,147.284,20.843,,159.298,129.783,29.515
521,177.364,147.867,29.497,,143.806,110.303,33.503
523,181.047,152.707,28.34,,161.14,142.443,18.697
525,166.8,153.454,13.346,,158.59,141.83,16.76
527,183.615,140.476,43.139,,154.105,132.528,21.577
529,175.822,149.304,26.518,,144.897,133.446,11.451
531,165.967,155.755,10.212,,160.053,148.89,11.163
533,172.529,156.22,16.309,,160.604,145.395,15.209
535,177.527,150.057,27.47,,153.096,127.226,25.87
537,171.391,146.069,25.322,,145.544,139.335,6.209
539,178.545,155.338,23.207,,156.239,155.67,0.569
541,183.337,149.978,33.359,,163.251,136.432,26.819
543,185.6,154.38,31.22,,138.68,123.719,14.961
545,180.196,132.968,47.228,,162.657,150.496,12.161
547,176.034,149.454,26.58,,168.325,162.307,6.018
549,192.561,165.348,27.213,,167.704,140.428,27.276
551,177.787,150.599,27.188,,159.353,137.882,21.471
553,170.796,113.196,57.6,,153.294,158.014,-4.72
555,181.724,159.361,22.363,,166.75,146.519,20.231
557,186.647,163.748,22.899,,156.025,146.173,9.852
559,150.275,104.269,46.006,,262.758,153.17,109.588
561,177.422,162.61,14.812,,176.657,153.641,23.016
563,180.472,173.228,7.244,,161.887,151.415,10.472
565,184.604,155.723,28.881,,136.614,144.537,-7.923
567,182.376,150.242,32.134,,174.231,147.69,26.541
569,189.686,171.154,18.532,,171.996,163.702,8.294
571,194.003,165.821,28.182,,198.666,157.546,41.12
573,156.715,154.804,1.911,,166.38,131.179,35.201
575,198.006,168.933,29.073,,177.026,152.371,24.655
577,252.152,167.449,84.703,,150.906,165.104,-14.198
579,152.721,166.974,-14.253,,146.471,160.131,-13.66
581,187.774,137.348,50.426,,179.564,139.411,40.153
583,205.485,165.842,39.643,,168.958,154.633,14.325
585,189.785,164.557,25.228,,179.623,161.964,17.659
587,196.995,164.017,32.978,,175.551,151.668,23.883
589,202.237,166.258,35.979,,162.809,154.958,7.851
591,184.848,178.658,6.19,,161.128,169.615,-8.487
593,186.412,170.131,16.281,,172.984,162.122,10.862
595,206.207,154.164,52.043,,233.493,153.345,80.148
597,205.205,171.928,33.277,,231.047,150.752,80.295
599,185.043,182.528,2.515,,179.585,162.375,17.21
601,203.483,144.396,59.087,,183.103,144.479,38.624
603,199.21,161.12,38.09,,155.759,162.693,-6.934
605,177.665,179.78,-2.115,,177.21,170.591,6.619
607,200.032,160.413,39.619,,188.231,164.452,23.779
609,286.901,153.846,133.055,,165.11,156.213,8.897
611,187.727,189.692,-1.965,,160.748,164.556,-3.808
613,199.574,172.316,27.258,,200.411,167.678,32.733
615,194.029,166.556,27.473,,167.786,158.068,9.718
617,187.57,155.926,31.644,,341.401,152.423,188.978
619,212.119,174.107,38.012,,182.961,157.832,25.129
621,211.867,176.089,35.778,,148.531,173.684,-25.153
623,188.43,160.217,28.213,,180.476,144.943,35.533
625,203.594,188.068,15.526,,188.977,170.154,18.823
627,205.191,169.886,35.305,,158.105,189.236,-31.131
629,312.265,165.581,146.684,,178.702,150.66,28.042
631,205.117,183.744,21.373,,344.354,158.031,186.323
633,193.251,182.473,10.778,,179.93,182.593,-2.663
635,198.319,166.15,32.169,,185.528,170.724,14.804
637,211.758,181.402,30.356,,187.108,156.828,30.28
639,385.212,193.339,191.873,,184.914,184.019,0.895
641,202.621,142.436,60.185,,191.781,164.197,27.584
643,210.785,165.252,45.533,,204.235,171.144,33.091
645,191.331,190.417,0.914,,191.355,166.421,24.934
647,221.134,175.582,45.552,,293.144,173.217,119.927
649,214.35,181.093,33.257,,193.869,165.274,28.595
651,204.4,193.941,10.459,,175.144,170.601,4.543
653,222.907,187.817,35.09,,194.881,185.697,9.184
655,210.652,180.636,30.016,,204.139,174.014,30.125
657,212.983,195.935,17.048,,177.056,173.714,3.342
659,304.76,196.06,108.7,,206.755,184.836,21.919
661,211.552,169.249,42.303,,203.736,174.272,29.464
663,195.952,200.693,-4.741,,178.492,172.613,5.879
